fund_name,name_th,amc_short_name
1AM-DAILY-RA,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1AM-DAILY-SSF,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1AM-GEM,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1AMSET50-RA,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1AMSET50-RU,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1AM-TG,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1GLOBALBOND,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1US-OPP,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
1VAL-RD,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONEAM
ABAG,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABAGS,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABAGS-SSF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABAPAC,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABAPAC-RMF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABAPAC-SSF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCA-A,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCC,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCG,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCG-SSF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCNEXT-A,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABCNEXT-SSF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABEG,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABFC,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABG,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGDD-A,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGDD-R,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGDD-RMF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGDD-SSF,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGEM,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGFIX-A,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
ABGS-A,"บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน (ประเทศไทย) จำกัด ",ABERDEEN
